date,people_14_years_or_more,people_in_workforce,employed_people,unemployed_people,people_outside_workforce,registered_employment_private_sector,unregistered_employment_private_sector,employment_home_worker,employment_public_sector,employment_employees,employment_freelancer,employment_family_assistance_worker,workforce_participation_rate(%),unemployment_rate(%)
01/04/2014,160336,98076,91081,6995,62259,36465,10337,5904,11304,3687,20769,2616,61.2,7.1
01/05/2014,160699,98178,91336,6842,62520,36509,10318,5917,11385,3657,20968,2582,61.1,7
01/06/2014,160903,98300,91577,6723,62603,36716,10252,5973,11329,3713,20956,2637,61.1,6.8
01/07/2014,161111,98223,91455,6768,62888,36506,10180,5973,11387,3689,21107,2614,61,6.9
01/08/2014,161376,98217,91465,6752,63159,36470,10134,5923,11457,3761,21101,2619,60.9,6.9
01/09/2014,161615,98456,91795,6662,63159,36495,10190,5950,11497,3739,21350,2574,60.9,6.8
01/10/2014,161849,98637,92115,6522,63212,36405,10348,5965,11606,3810,21437,2544,60.9,6.6
01/11/2014,162043,98636,92228,6408,63407,36369,10400,5973,11588,3869,21511,2519,60.9,6.5
01/12/2014,162319,98805,92396,6409,63514,36350,10420,5951,11545,3923,21637,2571,60.9,6.5
01/01/2015,162599,98934,92214,6720,63666,36339,10325,5968,11380,3932,21640,2631,60.8,6.8
01/02/2015,162879,99187,91834,7353,63692,36087,10148,6008,11310,3962,21641,2678,60.9,7.4
01/03/2015,162978,99438,91555,7883,63540,35916,9982,5990,11286,4056,21651,2674,61,7.9
01/04/2015,163009,99687,91711,7975,63322,35928,9952,5956,11404,4019,21788,2666,61.2,8
01/05/2015,163133,99743,91641,8103,63390,35818,10008,5946,11369,3954,21900,2646,61.1,8.1
01/06/2015,163286,100050,91750,8300,63236,35765,10004,5974,11391,3977,21944,2695,61.3,8.3
01/07/2015,163429,100293,91725,8568,63137,35597,10003,6019,11421,3986,21987,2712,61.4,8.5
01/08/2015,163586,100419,91670,8748,63167,35400,10021,6010,11492,4036,22024,2686,61.4,8.7
01/09/2015,163693,100557,91635,8922,63136,35277,10113,5987,11485,4036,22107,2631,61.4,8.9
01/10/2015,163810,100847,91833,9014,62963,35227,10137,6120,11444,4025,22348,2531,61.6,8.9
01/11/2015,163978,100763,91704,9059,63215,35260,10039,6206,11319,3981,22489,2409,61.4,9
01/12/2015,164151,100818,91800,9019,63333,35268,9975,6249,11264,3936,22790,2317,61.4,8.9
01/01/2016,164302,100727,91166,9560,63576,35027,9721,6205,11129,3835,22977,2273,61.3,9.5
01/02/2016,164537,101010,90702,10308,63526,34741,9660,6175,10969,3749,23165,2244,61.4,10.2
01/03/2016,164775,101239,90216,11023,63536,34503,9661,6195,10921,3707,23066,2163,61.4,10.9
01/04/2016,165120,101559,90213,11346,63561,34403,9894,6197,11027,3709,22860,2124,61.5,11.2
01/05/2016,165347,101804,90428,11376,63543,34319,10002,6254,11127,3749,22855,2122,61.6,11.2
01/06/2016,165491,101902,90379,11523,63589,34302,10023,6200,11243,3690,22804,2117,61.6,11.3
01/07/2016,165618,101854,90072,11782,63764,34224,10099,6147,11186,3805,22521,2091,61.5,11.6
01/08/2016,165672,101688,89730,11958,63984,34060,10144,6097,11305,3928,22121,2075,61.4,11.8
01/09/2016,165735,101391,89433,11958,64344,33995,10209,6098,11274,4065,21743,2049,61.2,11.8
01/10/2016,165893,101467,89488,11979,64426,33928,10305,6114,11337,4112,21638,2055,61.2,11.8
01/11/2016,166076,101884,89815,12069,64192,33962,10390,6053,11358,4143,21830,2080,61.3,11.8
01/12/2016,166401,102150,89871,12278,64252,33894,10457,6083,11200,4127,22021,2089,61.4,12
01/01/2017,166640,102324,89469,12855,64316,33751,10347,6032,10935,4168,22089,2146,61.4,12.6
01/02/2017,166716,102447,88968,13479,64269,33632,10194,6019,10787,4107,22051,2178,61.4,13.2
01/03/2017,166807,102684,88579,14105,64123,33305,10126,6036,10822,4110,22009,2172,61.6,13.7
01/04/2017,166984,102851,88872,13979,64133,33187,10202,6080,10962,4104,22176,2160,61.6,13.6
01/05/2017,167158,103030,89323,13707,64129,33161,10414,6110,11115,4101,22273,2150,61.6,13.3
01/06/2017,167432,103298,89872,13426,64134,33237,10564,6081,11248,4173,22407,2161,61.7,13
01/07/2017,167713,103587,90319,13269,64125,33247,10668,6062,11383,4216,22531,2211,61.8,12.8
01/08/2017,167863,103767,90710,13057,64096,33321,10699,6089,11409,4195,22751,2245,61.8,12.6
01/09/2017,168039,103859,90953,12906,64180,33212,10853,6155,11440,4228,22819,2247,61.8,12.4
01/10/2017,168108,103892,91203,12689,64216,33215,10922,6239,11473,4292,22865,2197,61.8,12.2
01/11/2017,168254,104132,91610,12522,64122,33133,11110,6305,11503,4387,22951,2221,61.9,12
01/12/2017,168396,104037,91770,12267,64360,33237,11056,6348,11424,4390,23110,2206,61.8,11.8
01/01/2018,168491,104015,91373,12642,64475,33215,10930,6302,11255,4350,23095,2226,61.7,12.2
01/02/2018,168509,103842,90773,13070,64667,33048,10704,6273,11149,4334,23052,2213,61.6,12.6
01/03/2018,168508,103907,90272,13634,64601,32837,10657,6184,11172,4347,22871,2204,61.7,13.1
01/04/2018,168701,103790,90429,13361,64911,32655,10849,6148,11326,4344,22945,2162,61.5,12.9
01/05/2018,168922,103776,90586,13190,65147,32701,11012,6119,11440,4333,22863,2118,61.4,12.7
01/06/2018,169241,103864,90941,12923,65377,32763,10935,6214,11565,4353,22985,2127,61.4,12.4
01/07/2018,169425,104193,91367,12827,65231,32912,11039,6258,11611,4389,23035,2123,61.5,12.3
01/08/2018,169591,104454,91790,12665,65136,32902,11135,6284,11675,4419,23204,2170,61.6,12.1
01/09/2018,169734,104783,92333,12450,64951,32909,11453,6241,11690,4416,23419,2204,61.7,11.9
01/10/2018,169793,104928,92619,12309,64866,32863,11572,6245,11671,4503,23533,2232,61.8,11.7
01/11/2018,169936,105078,92915,12164,64858,32904,11634,6243,11729,4468,23736,2201,61.8,11.6
01/12/2018,170022,104888,92736,12152,65133,32942,11488,6256,11596,4520,23775,2158,61.7,11.6
01/01/2019,170193,104916,92291,12625,65277,32866,11254,6223,11461,4502,23831,2155,61.6,12
01/02/2019,170395,104933,91880,13053,65461,32979,11075,6167,11279,4523,23711,2145,61.6,12.4
01/03/2019,170500,105250,91863,13387,65250,32918,11124,6108,11362,4435,23750,2166,61.7,12.7
01/04/2019,170494,105543,92365,13177,64951,33136,11217,6147,11462,4381,23884,2139,61.9,12.5
01/05/2019,170615,105931,92947,12984,64684,33222,11384,6183,11543,4422,24033,2160,62.1,12.3
01/06/2019,170864,106108,93342,12766,64756,33213,11500,6254,11661,4369,24141,2203,62.1,12
01/07/2019,170975,106153,93584,12569,64822,33146,11658,6280,11714,4331,24227,2230,62.1,11.8
01/08/2019,171123,106195,93631,12565,64928,33042,11795,6287,11671,4348,24293,2193,62.1,11.8
01/09/2019,171158,106315,93801,12515,64843,33075,11838,6276,11683,4368,24434,2127,62.1,11.8
01/10/2019,171281,106421,94055,12367,64860,33206,11852,6314,11675,4452,24446,2110,62.1,11.6
01/11/2019,171401,106279,94416,11863,65122,33420,11812,6356,11686,4483,24597,2062,62,11.2
01/12/2019,171613,106184,94552,11632,65429,33668,11855,6356,11641,4442,24557,2033,61.9,11
01/01/2020,171798,106065,94151,11913,65733,33711,11673,6260,11526,4426,24575,1980,61.7,11.2
01/02/2020,171989,106052,93710,12343,65937,33624,11644,6209,11370,4411,24477,1974,61.7,11.6
01/03/2020,172354,105073,92223,12850,67281,33096,11023,5971,11652,4385,24159,1938,61,12.2
01/04/2020,172978,102052,89241,12811,70926,32207,10126,5524,11904,4201,23379,1900,59,12.6
01/05/2020,173610,98646,85936,12710,74964,31103,9218,5033,12255,4034,22415,1879,56.8,12.9
01/06/2020,173918,96138,83347,12791,77781,30154,8639,4714,12360,3955,21664,1861,55.3,13.3
